id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
4455495815865858,InhHnoBYC,1403936721,霍小兵,2018年中国内地出国留学人数66万，较2017年增加了近6万人，连续多年成为全球最大的留学生输出国，连续9年成为全球最大的赴美留学生源国。2018年6182名中国人在美获博士学位，近80%打算留在美国！过去10年里，持临时签证的155401个博士学位获得者中，前10的国籍占了71%，而前三位中印韩三国占了54%在17/18学年，在美国就读的109万国际学生中，360000来自中国（研究生130000）。占比33.%，比排名第二的印度高15个百分点。星星小咖超话,,,,,18,7,12,2019-12-31 09:40,星星小咖超话,https://wx3.sinaimg.cn/large/53ae5fd1ly1gafnqjxje2j20jg0cv0vq.jpg,,,,,非会员,0
4455538336958073,IniNXtc6Z,2510842664,黑骏马大哥,//@霍小兵://@阿兰教授:中国人应该致力于像欧洲人一样，获得优先移民新大陆的权力。新大陆有义务向中国人开放移民#中美贸易战新主张#,,,"霍小兵,阿兰教授",中美贸易战新主张,0,0,12,2019-12-31 12:29,微博 weibo.com,,,4455495815865858,,普通用户,非会员,0
4455536612873212,IniLbc3s8,1496911830,王岩---37地产,//@霍小兵://@阿兰教授:中国人应该致力于像欧洲人一样，获得优先移民新大陆的权力。新大陆有义务向中国人开放移民#中美贸易战新主张#,,,"霍小兵,阿兰教授",中美贸易战新主张,1,0,12,2019-12-31 12:22,iPhone客户端,,,4455495815865858,,黄V,非会员,0
4455502551216959,InhSf56An,6470235079,毛委员三代,//@霍小兵://@阿兰教授:中国人应该致力于像欧洲人一样，获得优先移民新大陆的权力。新大陆有义务向中国人开放移民#中美贸易战新主张#,,,"霍小兵,阿兰教授",中美贸易战新主张,0,0,12,2019-12-31 10:07,iPhone 6,,,4455495815865858,,普通用户,非会员,0
4455498759436497,InhM7DARz,1403936721,霍小兵,//@阿兰教授:中国人应该致力于像欧洲人一样，获得优先移民新大陆的权力。新大陆有义务向中国人开放移民#中美贸易战新主张#,,,阿兰教授,中美贸易战新主张,5,2,12,2019-12-31 09:52,要言霍众的Android,,,4455495815865858,,金V,超级会员,2
4455498436989833,InhLBtknf,3341480922,阿兰教授,中国人应该致力于像欧洲人一样，获得优先移民新大陆的权力。新大陆有义务向中国人开放移民#中美贸易战新主张#,,,,中美贸易战新主张,6,1,12,2019-12-31 09:51,小米9 透明尊享版,,,4455495815865858,,红V,超级会员,1
4455445912030646,IngoT8wgm,2469115907,z朱皮皮,只有当中国和美国遇到一个共同的挑战，这个挑战必须来自人类之外，而且这个挑战大到以至中美两国必须联手应战的时候，中国和美国才会有坚实的合作基础，这个挑战，在我看来，应该是人工智能社会的到来。#中美贸易战新主张#,,,,中美贸易战新主张,0,0,1,2019-12-31 06:22,荣耀V20 4800万3D相机,,,,,普通用户,非会员,0
4455221339752100,InayFEUXW,1732112365,NOWnews今日新闻,【中美贸易战争进入第二阶段美媒：白宫早已做好应战准备】#中美贸易战新主张#第一阶段协议中，美国将降低对中国商品的关税，以换取中方购买更多的美国农产品。而中国大陆商务部发言人表示，将坚决维护国家利益。驻美大使崔天凯表示将会适时对外公布消息，并强调两国合作是唯一正确选择。外交部发言人耿爽于记者会上回应，表示近日中美两国元首进行了通话，谈及第一阶段协议问题，双方经贸团队正在就协议签署具体安排等后续工作保持密切沟通。对于协议签署的日程、地点及双方是否达成共识等相关问题，中国大陆商务部发言人高峰表示，目前中美双方正在履行法务审核、翻译校对等必要程序，并就协议签署等后续工作密切沟通，未来有任何进展将第一时间发布。美国杂志《外交政策》（ForeignPolicy）27日分析，中美贸易战进入第二阶段，川普政府与中国达成第一阶段协议可能象征两国冲突第一章节结束。然而即使中国履行协议中的条款，也不代表强国在大的领域之间的竞争。这项协议将是第二阶段经济竞争的关键，关税上的斗争结束，取而代之的是出口与进口管制、投资限制和经济制裁。本月18日两院通过的《2020财年国防授权》法案透露了中美贸易第二阶段的前哨战。美国白宫在过去的两年，一直悄悄的推动立法，加强限制出口创新科技技术，包括机器人、AI#人工智能#，以及加强审境内的查外国投资。关于中美之间商业和投资关系的限制和讨论逐渐增加，例如限制美国联邦退休人员对中国企业的投资。中国大陆商业部发言人高峰26日表示，中方认为美国《2020财年国防授权法案》中限制采购中国商品、加强对中国企业失实出口管制制裁的规定，是以国家行为干预企业正常营运活动的恶劣例证。中方对川普政府的政策予与谴责，并且敦促美国尊重市场化原则，创作两国正常经贸的良好条件。其中美国对华为的抵制，是中国对美国构成威胁的典型例子。在抵制的过程中，美国意识到在贸易战上需要更长远的计划、有效的外交手腕，以及投资中国产品的替代品作为备案。根据美国官员的说法，华为可能促进中方的间谍活动和网路，同时增加国家安全的风险，此外还有盗窃知识财产的疑虑。更多精彩报导详见《NOWnews今日新闻》网，本文由NOWnews授权报导欢迎关注NOWnews今日新闻新浪微博#nownews今日新闻#www.nownews.com,,,,"中美贸易战新主张,人工智能,nownews今日新闻",0,3,1,2019-12-30 15:30,微博 weibo.com,"https://wx3.sinaimg.cn/large/673defedly1gaepyif0tkj20zk0pu77g.jpg,https://wx4.sinaimg.cn/large/673defedly1gaeq1o0p26j20u80k642x.jpg",,,,蓝V,非会员,0
4454775314127389,ImYXhhjIN,1656136577,KUMA_SEN钱掌柜,#今日腊八节##沃尔玛#进口燕麦片#外资超市大败局##中美贸易战新主张##12315消费者维权投诉#食品安全警惕：这个标称瑞士进口牌子的麦片，购买于湖北境内的一家沃尔玛，食用中发现两颗牙齿。事发初期沃尔玛询问有什么要求，看是否能满足到。我们提出只想知道这个异物的检验报告，是否携带病毒导致安全隐患。沃尔玛在二周后的回应很简单，产品已经开包了，无法证明牙齿是否真的出自食品包装内，而且过程中也没有人证和监控。他们无法做任何证明。事件属实，属于愤慨帮身边的朋友转发！期间有联系过12315且有备案！因为没有所谓明据，落实到当地市场监督局时他们保持了非常公正的立场态度。其实这个事情的始因是心照不宣的，中国人根本不需要维权！也没有能力维权！特别是生活在中小城市的普通人。,,孝感,,"今日腊八节,沃尔玛,外资超市大败局,中美贸易战新主张,12315消费者维权投诉",0,0,4,2019-12-29 09:57,iPhone客户端,"https://wx1.sinaimg.cn/large/62b6a381ly1gadcyjafr4j20ku0rs77z.jpg,https://wx4.sinaimg.cn/large/62b6a381ly1gadcytfsgmj20ku0rs0uv.jpg,https://wx4.sinaimg.cn/large/62b6a381ly1gadczmaedpj20ku0kuad6.jpg",,,,普通用户,非会员,0
4454505875301139,ImRWHmf4f,5507836092,橙新聞,【2019年两岸大事回顾：中美贸易战左右世界动向】延续2018年的中美贸易战，全球两大经济体在2019年竞争更为激烈，环球巿场继续受到震动。美国变本加厉，推动多项法案作为谈判筹码，不断向中国施压。到了12月初，谈判取得突破，中美达成首阶段贸易协议，贸易战露出解决曙光。此外，今年适逢中华人民共和国成立70周年，同时迎来澳门回归祖国20周年，吸引全世界目光。#中美贸易战新主张#O网页链接L橙新聞的微博视频,,,,中美贸易战新主张,0,0,4,2019-12-28 16:07,微博视频号,,"http://f.video.weibocdn.com/003h0kmUlx07zIdFGoAo01041200OuoA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1763216131&ssig=B9EZ0a%2BEMi&KID=unistore,video",,,蓝V,超级会员,1
