id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
4954213845306901,NmKlGmgzb,2901152415,天雨侠,美商务部再将42家中企列入实体清单据路透社报道，美国商务部于当地时间6日将42家中国企业列入出口管制清单，美方指责这些企业“支持俄罗斯国防工业基础”。#中美贸易战再次升级##芯片#,,,,"中美贸易战再次升级,芯片",0,0,1,2023-10-07 14:28,Android,https://wx2.sinaimg.cn/large/acec129fgy1himopojjv3j20u02dttg9.jpg,,,,普通用户,非会员,0
4950103900553556,Nl1qK2k0k,2390717091,中博智能陈建江,昨天（25日）的华为发布会，爆料了很多新产品的细节，对大家期待的芯片，却完全跳过了，至于外界猜测的#华为麒麟芯片回归##华为攻克14nm芯片技术#选择性跳过，麒麟9000s到底是7nm还是5nm技术，是不是5G，是不是自产还是代工，谁生产的？这些统统不说。再结合前两天公布的中美两个工作组，应该是两边谈妥了，默认了，你不说，我不说，不追究、不追查。贸易战、科技战，依然会有，但不升级了，让#中美贸易战再次升级#的可能性控制住，把双方的经济先搞上去。,,,,"华为麒麟芯片回归,华为攻克14nm芯片技术,中美贸易战再次升级",0,0,3,2023-09-26 06:16,HUAWEI P60 Pro,https://wx1.sinaimg.cn/large/8e7f72a3gy1hi9koxg7r9j20rs0ijqa5.jpg,,,,黄V,会员,7
4910606975764063,N4rW1obuL,1410089175,老郭大白话,美国围堵中国黔驴技穷！削弱美国的同时盟友也不买账！#中美关系##美国围堵中国##中美贸易战再次升级#@微博时事L老郭大白话的微博视频,,,微博时事,"中美关系,美国围堵中国,中美贸易战再次升级",1,1,3,2023-06-09 06:30,微博视频号,,"http://f.video.weibocdn.com/o0/icToh4PTlx0864YV5FiE01041200ojub0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763144940&ssig=M60SCVU9Ar&KID=unistore,video",,,红V,超级会员,1
